OpenTelemetryについてどの程度ご存知ですか？,OpenTelemetryで収集するテレメトリーシグナルはどれですか？（該当するものをすべて選択してください）,どのコレクターディストリビューションを使用していますか？（該当するものすべてを選択してください）,仕事でどのプログラミング言語を使用していますか？（該当するものをすべて選択してください）,同僚にOpenTelemetryを推薦する可能性はどのくらいありますか？,OpenTelemetryを使用しない主な理由は何ですか？（該当するものをすべて選択してください） ,過去3年間、どのようなITコミュニティイベントに参加しましたか？（該当するものをすべて選択してください）,どのような形式のイベントが好きですか？,テクノロジー全般に関する情報は、普段どこから得ていますか？（該当するものをすべて選択してください）,あなたはオブザーバビリティまたはAPM（監視）ベンダーで働いていますか？
本番環境で使っている,"ログ, トレース","コアコレクター, Contribコレクター","Go, Javascript/Typescript, PHP",10,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ, トレース",OpenTelemetry Collector builder (OCB)を使ったカスタムビルド,"Go, Javascript/Typescript, Python",7,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きではない,"公式ドキュメント, GitHub, ブログ, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"ログ, トレース",Contribコレクター,"PHP, Kotlin",10,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ, トレース","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Go, Javascript/Typescript, Rust",10,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, 同僚／職場のコミュニティ",いいえ
テスト中／評価中,"メトリクス, トレース",Contribコレクター,"Go, Rust",9,,"カンファレンス, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn",いいえ
本番環境で使っている,"メトリクス, ログ, トレース, プロファイル","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Go, Python",10,,"カンファレンス, ハンズオンワークショップ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ","コアコレクター, Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド",Go,10,,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",はい
聞いたことはあるけど、使ったことはない,,,,,小さなモノリシックアプリケーションでありクラウドマネージドのログ・メトリクス基盤で事足りるため,"カンファレンス, ハンズオンワークショップ, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,Go,10,,ITコミュニティイベントには参加していない,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 書籍",いいえ
本番環境で使っている,トレース,Datadog agentを使用している,"Java, Javascript/Typescript, Perl, Scala",10,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, 技術ディーブダイブ, ケーススタディプレゼンテーション",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,Javascript/Typescript,10,,"カンファレンス, 技術ディーブダイブ",バーチャル（オンライン）イベント,"公式ドキュメント, Twitter/X, Zenn",いいえ
テスト中／評価中,トレース,Contribコレクター,Ruby,8,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ハンズオンワークショップ, 初心者向けチュートリアル, 技術ディーブダイブ, ケーススタディプレゼンテーション",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ, トレース",コアコレクター,"Java, Javascript/Typescript, Kotlin",10,,"カンファレンス, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ",いいえ
本番環境で使っている,トレース,Contribコレクター,"Go, Java, Python",6,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きではない,"公式ドキュメント, GitHub, ブログ, Twitter/X, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"メトリクス, トレース",OpenTelemetry Collector builder (OCB)を使ったカスタムビルド,Java,10,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, Twitter/X",いいえ
本番環境で使っている,"メトリクス, トレース",Elastic Distribution of OpenTelemetry Collector,"Go, Java, Javascript/Typescript, Python, Scala",10,,"初心者向けチュートリアル, ネットワーキングイベント",対面イベント,"公式ドキュメント, GitHub, 同僚／職場のコミュニティ, 書籍",はい
本番環境で使っている,"ログ, トレース","コアコレクター, Contribコレクター","Go, PHP",8,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ハンズオンワークショップ, ケーススタディプレゼンテーション, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, Twitter/X, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
テスト中／評価中,メトリクス,コアコレクター,"Java, Javascript/Typescript, PHP",6,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 書籍",いいえ
本番環境で使っている,"メトリクス, トレース",OpenTelemetry Collector builder (OCB)を使ったカスタムビルド,"Go, Javascript/Typescript, Python",10,,ITコミュニティイベントには参加していない,対面イベントもバーチャルイベントもどちらも好きではない,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"メトリクス, トレース",Contribコレクター,"Go, Javascript/Typescript",10,,"カンファレンス, ハンズオンワークショップ",対面イベントもバーチャルイベントもどちらも好きです,"GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ",いいえ
,,,,,,,,,
テスト中／評価中,"メトリクス, ログ, トレース",ADOT,"Java, Javascript/Typescript, PHP, Python",10,,ITコミュニティイベントには参加していない,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, Qiita, Zenn",いいえ
本番環境で使っている,"メトリクス, トレース",OpenTelemetry Collector builder (OCB)を使ったカスタムビルド,"Go, Javascript/Typescript, Python, Scala",10,,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",はい
テスト中／評価中,"メトリクス, ログ, トレース",Contribコレクター,"Java, Javascript/Typescript",10,,"カンファレンス, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ",はい
テスト中／評価中,トレース,Contribコレクター,"Javascript/Typescript, Python",8,,"カンファレンス, ハンズオンワークショップ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Qiita",いいえ
本番環境で使っている,"メトリクス, ログ",OpenTelemetry Collector builder (OCB)を使ったカスタムビルド,"Javascript/Typescript, Python",8,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, Twitter/X, 技術カンファレンス／ミートアップ, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ, トレース, プロファイル",Contribコレクター,"Go, Javascript/Typescript, Python, Swift, Kotlin",8,,"カンファレンス, ハンズオンワークショップ, 技術ディーブダイブ, ケーススタディプレゼンテーション",対面イベントもバーチャルイベントもどちらも好きです,"GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ",はい
聞いたことはあるけど、使ったことはない,,,,,"既に他のオブザーバビリティソリューションを使っているため, 実施するための時間・リソース不足","カンファレンス, ハンズオンワークショップ, 初心者向けチュートリアル, ネットワーキングイベント",対面イベント,"ブログ, Twitter/X, LinkedIn, Zenn, YouTube, 技術カンファレンス／ミートアップ",いいえ
テスト中／評価中,"メトリクス, ログ, トレース",OpenTelemetry Collector builder (OCB)を使ったカスタムビルド,PHP,6,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, Twitter/X, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,"Go, PHP",8,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ, 書籍",いいえ
テスト中／評価中,トレース,コアコレクター,"Javascript/Typescript, Python",10,,"カンファレンス, ハンズオンワークショップ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"メトリクス, トレース",Contribコレクター,"Javascript/Typescript, Kotlin",10,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",いいえ
テスト中／評価中,"メトリクス, トレース",Contribコレクター,"Go, Javascript/Typescript",6,,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 同僚／職場のコミュニティ",いいえ
本番環境で使っている,"メトリクス, ログ, トレース, プロファイル",Splunk Distro,"Go, Java, Javascript/Typescript, Python",8,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, 技術ディーブダイブ, ケーススタディプレゼンテーション, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",はい
本番環境で使っている,メトリクス,"コアコレクター, Contribコレクター",Go,10,,ITコミュニティイベントには参加していない,対面イベントもバーチャルイベントもどちらも好きではない,"公式ドキュメント, GitHub, ブログ, Twitter/X, 書籍",いいえ
本番環境で使っている,トレース,コアコレクター,"Javascript/Typescript, Kotlin",10,,"カンファレンス, 初心者向けチュートリアル, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"ログ, トレース",Contribコレクター,"Go, Javascript/Typescript, Ruby",6,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"ブログ, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",いいえ
本番環境で使っている,メトリクス,ADOT,".NET, Go",9,,ITコミュニティイベントには参加していない,バーチャル（オンライン）イベント,"公式ドキュメント, GitHub, Twitter/X, Zenn, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,トレース,使っていない,"Go, Javascript/Typescript",10,,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
テスト中／評価中,"メトリクス, ログ, トレース",grafana alloy,"Go, Javascript/Typescript, Python",10,,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍, Bluesky",いいえ
テスト中／評価中,"メトリクス, ログ, トレース, プロファイル","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド, Grafana Alloy","Go, Python",10,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",いいえ
本番環境で使っている,"メトリクス, トレース",使っていない,"Go, Java, Javascript/Typescript",9,,"カンファレンス, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, Twitter/X, 技術カンファレンス／ミートアップ, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,"Go, Java, Javascript/Typescript",8,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"GitHub, Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",いいえ
聞いたことはあるけど、使ったことはない,,,,,ビジネス価値が不明確,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ハンズオンワークショップ, 技術ディーブダイブ",バーチャル（オンライン）イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ",いいえ
本番環境で使っている,"メトリクス, ログ, トレース, プロファイル",コアコレクター,"C++, Go, Javascript/Typescript, PHP, Python, Ruby",10,,"カンファレンス, ハンズオンワークショップ, 技術ディーブダイブ, ケーススタディプレゼンテーション, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ, トレース",https://github.com/GoogleCloudPlatform/opentelemetry-operations-go,"Go, Javascript/Typescript",10,,ITコミュニティイベントには参加していない,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn",いいえ
テスト中／評価中,トレース,使っていない,"Go, PHP, Python",10,,"カンファレンス, ハンズオンワークショップ, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, LinkedIn, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 書籍",はい
聞いたことはあるけど、使ったことはない,,,,,"実施するための時間・リソース不足, ビジネス価値が不明確, 技術的複雑性に関する懸念",カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, ブログ, Twitter/X, LinkedIn, 技術カンファレンス／ミートアップ",いいえ
本番環境で使っている,トレース,ADOT,"Javascript/Typescript, HCL",8,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"Twitter/X, Zenn",いいえ
本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,"Go, Javascript/Typescript, Perl, Python, Swift, Kotlin",10,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",はい
テスト中／評価中,"メトリクス, トレース","コアコレクター, Contribコレクター, ADOT","Javascript/Typescript, Python",8,,"ハンズオンワークショップ, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, LinkedIn, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",はい
本番環境で使っている,"メトリクス, ログ, トレース",使っていない,"Go, Javascript/Typescript, Python",8,,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",いいえ
聞いたことはあるけど、使ったことはない,,,,,"既に他のオブザーバビリティソリューションを使っているため, 実施するための時間・リソース不足, ビジネス価値が不明確","KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Qiita, Zenn, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"ログ, トレース",Contribコレクター,Go,8,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"GitHub, ブログ, Twitter/X, Zenn, 同僚／職場のコミュニティ",いいえ
テスト中／評価中,トレース,adot,PHP,6,,"カンファレンス, ハンズオンワークショップ, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"メトリクス, トレース",Contribコレクター,"Go, Javascript/Typescript, Python",10,,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ, トレース",OpenTelemetry Collector builder (OCB)を使ったカスタムビルド,Go,10,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベント,"Twitter/X, 技術カンファレンス／ミートアップ",いいえ
テスト中／評価中,"メトリクス, ログ, トレース",コアコレクター,"Go, Java, PHP",9,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, LinkedIn, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",はい
聞いたことはあるけど、使ったことはない,,,,,既に他のオブザーバビリティソリューションを使っているため,"カンファレンス, ハンズオンワークショップ, 技術ディーブダイブ, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, 技術カンファレンス／ミートアップ, 書籍",いいえ
テスト中／評価中,"メトリクス, ログ, トレース",わからない。,"Java, Javascript/Typescript",5,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, 技術ディーブダイブ, ネットワーキングイベント",対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, LinkedIn, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",いいえ
本番環境で使っている,"メトリクス, ログ, トレース",コアコレクター,"Go, Javascript/Typescript",10,,"カンファレンス, ハンズオンワークショップ, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, LinkedIn, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍, 論文",いいえ
本番環境で使っている,"メトリクス, ログ, トレース","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド",Go,7,,ITコミュニティイベントには参加していない,バーチャル（オンライン）イベント,"Twitter/X, LinkedIn, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ",いいえ
本番環境で使っている,"ログ, トレース, プロファイル","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Go, Java, Javascript/Typescript, Python",9,,カンファレンス,バーチャル（オンライン）イベント,"Twitter/X, 同僚／職場のコミュニティ",はい
テスト中／評価中,"メトリクス, ログ, トレース",splunk-otel-collector,"Go, Java, Javascript/Typescript",10,,カンファレンス,バーチャル（オンライン）イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
テスト中／評価中,"ログ, トレース","コアコレクター, Contribコレクター",Python,10,,"ハンズオンワークショップ, 初心者向けチュートリアル, 技術ディーブダイブ, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
テスト中／評価中,"メトリクス, トレース",使っていない,Java,5,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ",いいえ
本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,".NET, Go",5,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 書籍",いいえ
テスト中／評価中,"メトリクス, ログ, トレース","コアコレクター, Contribコレクター","Javascript/Typescript, Ruby, Swift",7,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ハンズオンワークショップ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 書籍",いいえ
聞いたことはあるけど、使ったことはない,,,,,"実施するための時間・リソース不足, ビジネス価値が不明確, 技術的複雑性に関する懸念","KubeCon + CloudNativeCon Japan 2025, カンファレンス, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 書籍, 論文",いいえ
本番環境で使っている,"メトリクス, トレース",OpenTelemetry Collector builder (OCB)を使ったカスタムビルド,"Go, Java",8,,ITコミュニティイベントには参加していない,バーチャル（オンライン）イベント,"公式ドキュメント, GitHub, Twitter/X, 同僚／職場のコミュニティ",いいえ
テスト中／評価中,トレース,Contribコレクター,".NET, Javascript/Typescript",10,,ITコミュニティイベントには参加していない,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, Twitter/X",いいえ
